original_file,category,bytes,sha256,is_duplicate,duplicate_of,canonical_name
"Highlighted_column_2.svg","chart_widget","22344","37a19a045def6f98e3f25f6ed8d9988586befcd56d7a0a55ff2301d114e0bd48","false","Highlighted_column_2.svg","chart_widget__highlighted_column_2.svg"
"Highlighted_column_3.svg","chart_widget","14009","6a0c3bc43340a35e320212c188f2213225e0a920b33e21c7d96ccc50e98e42b2","false","Highlighted_column_3.svg","chart_widget__highlighted_column_3.svg"
"Highlighted_column_4.svg","chart_widget","22367","e92555899ba8ef250e51c0abc1244e2284d1ed62386daa3a655eb89febac9432","false","Highlighted_column_4.svg","chart_widget__highlighted_column_4.svg"
"Highlighted_column.svg","chart_widget","13996","4ce5cf1c913e046bccbf27c148be32d9d60b4fb6ba8395fa7b6bbe3df7d4ae55","false","Highlighted_column.svg","chart_widget__highlighted_column.svg"
"Lights_10.svg","chart_widget","1621","113f70e893d2df7666096281d8b305b36fbbd056ab5936dd1a24609c3a9ddadc","false","Lights_10.svg","chart_widget__lights_10.svg"
"Lights_11.svg","chart_widget","1902","22a63a2e31d3be6b9d548a01e213f803c2c1a555ededcf0ffa61c30373311222","false","Lights_11.svg","chart_widget__lights_11.svg"
"Lights_12.svg","chart_widget","1902","55cbfeb7a1ed02a72ad867b1e87be831aacf7455038a13bd748a7a5a77fdb0c1","false","Lights_12.svg","chart_widget__lights_12.svg"
"Lights_13.svg","chart_widget","1621","b362610c92f673f3c2529e178e0b007947f865cfe95104e11d444f4f73d9543d","false","Lights_13.svg","chart_widget__lights_13.svg"
"Lights_14.svg","chart_widget","1621","bbace6a209d3fc668c448221cee6a0a2489fbd80afe167c72e72aabc601bf064","false","Lights_14.svg","chart_widget__lights_14.svg"
"Lights_15.svg","chart_widget","1902","1d03d6f9fac7128de8fb4413e557405be3d8e2d8c9d7c5646c61b84427a2f1b2","false","Lights_15.svg","chart_widget__lights_15.svg"
"Lights_16.svg","chart_widget","1902","0f318054015f6261f4493a62794959337db902c360cf5ea2a66b44300648d34d","false","Lights_16.svg","chart_widget__lights_16.svg"
"Lights_2.svg","chart_widget","1619","5ab4835fdf6523f331862fe1aefabba5fa9a647e45a7d5a765924fce6effd223","false","Lights_2.svg","chart_widget__lights_2.svg"
"Lights_3.svg","chart_widget","1900","e82a59ebde6b8e57ca9b2c57dd42a34b2d0038435f122e73e6b2036768399d10","false","Lights_3.svg","chart_widget__lights_3.svg"
